pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1101301,,bse_fo,SO,ICICIPRULI,ICICIPRULI26MAY510CE,CE,ICICIPRULI27MAY26510.00CE,,540133,,,ICICIPRULI26MAY510CE,,,5,925,1779906599,1,2,51000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,925,0,3220,5,1,1,1,0,0,1,0,-1,1,0,60000
1101308,,bse_fo,SO,SHRIRAMFIN,SHRIRAMFIN26MAY840PE,PE,SHRIRAMFIN27MAY26840.00PE,,511218,,,SHRIRAMFIN26MAY840PE,,,5,825,1779906599,1,2,84000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,825,0,2110,5,1,1,1,0,0,1,0,-1,1,0,18000
1101401,,bse_fo,SO,SRF,SRF26MAY2260CE,CE,SRF27MAY262260.00CE,,503806,,,SRF26MAY2260CE,,,5,200,1779906599,1,2,226000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,200,0,58695,17895,1,1,1,0,0,1,0,-1,1,0,11250
1101410,,bse_fo,SO,HAL,HAL26MAY3300CE,CE,HAL27MAY263300.00CE,,541154,,,HAL26MAY3300CE,,,5,150,1779906599,1,2,330000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,150,0,138340,67840,1,1,1,0,0,1,0,-1,1,0,9000
1101431,,bse_fo,SO,CIPLA,CIPLA26MAY1150CE,CE,CIPLA27MAY261150.00CE,,500087,,,CIPLA26MAY1150CE,,,5,375,1779906599,1,2,115000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,375,0,36165,19375,1,1,1,0,0,1,0,-1,1,0,26000
1101471,,bse_fo,SO,FORTIS,FORTIS26MAY730CE,CE,FORTIS27MAY26730.00CE,,532843,,,FORTIS26MAY730CE,,,5,775,1779906599,1,2,73000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,775,0,30325,16295,1,1,1,0,0,1,0,-1,1,0,100000000
1101489,,bse_fo,SO,SUPREMEIND,SUPREMEIND26MAY3400PE,PE,SUPREMEIND27MAY263400.00PE,,509930,,,SUPREMEIND26MAY3400PE,,,5,175,1779906599,1,2,340000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,175,0,10280,5,1,1,1,0,0,1,0,-1,1,0,100000000
1101491,,bse_fo,SO,BANKBARODA,BANKBARODA26MAY247.5CE,CE,BANKBARODA27MAY26247.50CE,,532134,,,BANKBARODA26MAY247.5CE,,,5,2925,1779906599,1,2,24750,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,2925,0,3415,5,1,1,1,0,0,1,0,-1,1,0,175500
1101548,,bse_fo,IO,SENSEX50,SENSEX5026MAY22700CE,CE,SENSEX5027MAY2622700.00CE,,47,,,SENSEX5026MAY22700CE,,,5,75,1779906599,1,2,2.27e+06,BSE,IO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Cash,,0,1,0.00,75,0,297455,115200,1,1,1,0,0,1,0,-1,1,0,1800
1101607,,bse_fo,SO,GAIL,GAIL26MAY131PE,PE,GAIL27MAY26131.00PE,,532155,,,GAIL26MAY131PE,,,5,3150,1779906599,1,2,13100,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,3150,0,2000,5,1,1,1,0,0,1,0,-1,1,0,274500
