pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,CASEligible
883311,,bse_fo,SO,SHRIRAMFIN,SHRIRAMFIN26SEP1240CE,CE,SHRIRAMFIN24SEP261240.00CE,,511218,,,SHRIRAMFIN26SEP1240CE,,,5,825,1790274599,1,2,124000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,825,0,2045,5,1,1,1,0,0,1,0,-1,1,0,18000,false
889029,,bse_fo,IO,SENSEX,SENSEX26O0877000CE,CE,SENSEX08OCT2677000.00CE,,1,,,SENSEX26O0877000CE,,,5,20,1791484199,1,2,7.7e+06,BSE,IO,1791484199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1791417600,1791417600,,,,,Cash,,0,1,0.00,20,0,75475,5,1,1,1,0,0,1,0,-1,1,0,1000,false
1119169,,bse_fo,SO,GLENMARK,GLENMARK26NOV2620PE,PE,GLENMARK26NOV262620.00PE,,532296,,,GLENMARK26NOV2620PE,,,5,375,1795717799,1,2,262000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,375,0,34285,12320,1,1,1,0,0,1,0,-1,1,0,43500,false
863517,,bse_fo,SO,ONGC,ONGC26OCT257.5PE,PE,ONGC29OCT26257.50PE,,500312,,,ONGC26OCT257.5PE,,,5,2250,1793298599,1,2,25750,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,2250,0,4540,540,1,1,1,0,0,1,0,-1,1,0,154000,false
1105394,,bse_fo,SO,BOSCHLTD,BOSCHLTD26NOV47500CE,CE,BOSCHLTD26NOV2647500.00CE,,500530,,,BOSCHLTD26NOV47500CE,,,5,25,1795717799,1,2,4.75e+06,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,25,0,468375,68950,1,1,1,0,0,1,0,-1,1,0,1500,false
842110,,bse_fo,SO,BAJAJFINSV,BAJAJFINSV26SEP1820CE,CE,BAJAJFINSV24SEP261820.00CE,,532978,,,BAJAJFINSV26SEP1820CE,,,5,300,1790274599,1,2,182000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,300,0,13495,5,1,1,1,0,0,1,0,-1,1,0,20000,false
1126700,,bse_fo,SO,ASIANPAINT,ASIANPAINT26OCT2360PE,PE,ASIANPAINT29OCT262360.00PE,,500820,,,ASIANPAINT26OCT2360PE,,,5,250,1793298599,1,2,236000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,250,0,7165,5,1,1,1,0,0,1,0,-1,1,0,8000,false
884429,,bse_fo,SO,ASHOKLEY,ASHOKLEY26OCT195PE,PE,ASHOKLEY29OCT26195.00PE,,500477,,,ASHOKLEY26OCT195PE,,,5,5000,1793298599,1,2,19500,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,5000,0,5595,1595,1,1,1,0,0,1,0,-1,1,0,150000,false
1133623,,bse_fo,SO,HYUNDAI,HYUNDAI26NOV2000PE,PE,HYUNDAI26NOV262000.00PE,,544274,,,HYUNDAI26NOV2000PE,,,5,275,1795717799,1,2,200000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,275,0,7380,25,1,1,1,0,0,1,0,-1,1,0,100000000,false
852457,,bse_fo,SO,MOTHERSON,MOTHERSON26SEP130PE,PE,MOTHERSON24SEP26130.00PE,,517334,,,MOTHERSON26SEP130PE,,,5,6150,1790274599,1,2,13000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,6150,0,2000,5,1,1,1,0,0,1,0,-1,1,0,284000,false
1129728,,bse_fo,IO,SENSEX,SENSEX26O0168200PE,PE,SENSEX01OCT2668200.00PE,,1,,,SENSEX26O0168200PE,,,5,20,1790879399,1,2,6.82e+06,BSE,IO,1790879399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790812800,1790812800,,,,,Cash,,1,1,0.00,20,0,2005,5,1,1,1,0,0,1,0,-1,1,0,1000,false
865750,,bse_fo,SO,ULTRACEMCO,ULTRACEMCO26OCT11600PE,PE,ULTRACEMCO29OCT2611600.00PE,,532538,,,ULTRACEMCO26OCT11600PE,,,5,50,1793298599,1,2,1.16e+06,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,50,0,129915,40865,1,1,1,0,0,1,0,-1,1,0,3000,false
860015,,bse_fo,SO,MFSL,MFSL26SEP1380CE,CE,MFSL24SEP261380.00CE,,500271,,,MFSL26SEP1380CE,,,5,400,1790274599,1,2,138000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,400,0,28185,6900,1,1,1,0,0,1,0,-1,1,0,32000,false
868547,,bse_fo,SO,BOSCHLTD,BOSCHLTD26OCT44000CE,CE,BOSCHLTD29OCT2644000.00CE,,500530,,,BOSCHLTD26OCT44000CE,,,5,25,1793298599,1,2,4.4e+06,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,25,0,713815,170565,1,1,1,0,0,1,0,-1,1,0,1500,false
1111220,,bse_fo,SO,HAL,HAL26NOV4700CE,CE,HAL26NOV264700.00CE,,541154,,,HAL26NOV4700CE,,,5,150,1795717799,1,2,470000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,150,0,54050,9970,1,1,1,0,0,1,0,-1,1,0,9000,false
1130293,,bse_fo,SO,M&M,M&M26NOV2750CE,CE,M&M26NOV262750.00CE,,500520,,,M&M26NOV2750CE,,,5,200,1795717799,1,2,275000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,200,0,56430,20470,1,1,1,0,0,1,0,-1,1,0,21000,false
1111706,,bse_fo,SO,MANKIND,MANKIND26NOV2560CE,CE,MANKIND26NOV262560.00CE,,543904,,,MANKIND26NOV2560CE,,,5,250,1795717799,1,2,256000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,250,0,7910,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
868692,,bse_fo,IO,SENSEX,SENSEX26OCT81500PE,PE,SENSEX29OCT2681500.00PE,,1,,,SENSEX26OCT81500PE,,,5,20,1793298599,1,2,8.15e+06,BSE,IO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Cash,,0,1,0.00,20,0,901025,441440,1,1,1,0,0,1,0,-1,1,0,1000,false
1113357,,bse_fo,SO,GAIL,GAIL26NOV175PE,PE,GAIL26NOV26175.00PE,,532155,,,GAIL26NOV175PE,,,5,3550,1795717799,1,2,17500,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,3550,0,3010,5,1,1,1,0,0,1,0,-1,1,0,274500,false
845020,,bse_fo,SO,ASHOKLEY,ASHOKLEY26SEP142.5CE,CE,ASHOKLEY24SEP26142.50CE,,500477,,,ASHOKLEY26SEP142.5CE,,,5,5000,1790274599,1,2,14250,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,5000,0,3680,5,1,1,1,0,0,1,0,-1,1,0,150000,false
862556,,bse_fo,SO,LODHA,LODHA26OCT1140CE,CE,LODHA29OCT261140.00CE,,543287,,,LODHA26OCT1140CE,,,5,625,1793298599,1,2,114000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,625,0,10070,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
1118973,,bse_fo,SO,RECLTD,RECLTD26SEP280PE,PE,RECLTD24SEP26280.00PE,,532955,,,RECLTD26SEP280PE,,,5,1575,1790274599,1,2,28000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,1575,0,2035,5,1,1,1,0,0,1,0,-1,1,0,160000,false
843340,,bse_fo,SO,PAGEIND,PAGEIND26SEP41500CE,CE,PAGEIND24SEP2641500.00CE,,532827,,,PAGEIND26SEP41500CE,,,5,20,1790274599,1,2,4.15e+06,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,20,0,2700,5,1,1,1,0,0,1,0,-1,1,0,600,false
886485,,bse_fo,IO,SENSEX,SENSEX26O0176500PE,PE,SENSEX01OCT2676500.00PE,,1,,,SENSEX26O0176500PE,,,5,20,1790879399,1,2,7.65e+06,BSE,IO,1790879399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790812800,1790812800,,,,,Cash,,0,1,0.00,20,420,412710,24065,1,1,1,0,0,1,0,-1,1,0,1000,false
1121829,,bse_fo,SO,BAJAJ-AUTO,BAJAJ-AUTO26SEP12900CE,CE,BAJAJ-AUTO24SEP2612900.00CE,,532977,,,BAJAJ-AUTO26SEP12900CE,,,5,75,1790274599,1,2,1.29e+06,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,75,0,2400,5,1,1,1,0,0,1,0,-1,1,0,5000,false
1103066,,bse_fo,SO,SONACOMS,SONACOMS26NOV850CE,CE,SONACOMS26NOV26850.00CE,,543300,,,SONACOMS26NOV850CE,,,5,1225,1795717799,1,2,85000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,1225,0,4435,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
1118633,,bse_fo,SO,GODREJCP,GODREJCP26NOV840PE,PE,GODREJCP26NOV26840.00PE,,532424,,,GODREJCP26NOV840PE,,,5,500,1795717799,1,2,84000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,500,0,4985,445,1,1,1,0,0,1,0,-1,1,0,30000,false
863530,,bse_fo,SO,BAJAJHLDNG,BAJAJHLDNG26OCT11100CE,CE,BAJAJHLDNG29OCT2611100.00CE,,500490,,,BAJAJHLDNG26OCT11100CE,,,5,75,1793298599,1,2,1.11e+06,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,75,0,86040,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
