Name,Order Date and Time,Product Type,Transaction Type,Total Quantity,Filled Quantity,Unfilled Quantity,Order Price,Average Price,Trigger Price,Status,Order Number
NIFTY 23950 CALL 13 APR NSE,2026-4-10  3:17:38,NRML,SELL,1/1 Lots,65,0,Market price,206.30,0.00,COMPLETED,260410000464234
NIFTY 24000 PUT 13 APR NSE,2026-4-10  3:17:37,NRML,SELL,1/1 Lots,65,0,Market price,115.05,0.00,COMPLETED,260410000464212
NIFTY 24000 PUT 13 APR NSE,2026-4-10  3:16:56,NRML,BUY,1/1 Lots,65,0,120.20,118.65,0.00,COMPLETED,260410000463420
NIFTY 24000 PUT 13 APR NSE,2026-4-10  3:9:5,NRML,SELL,0/1 Lots,0,65,109.85,0.00,0.00,REJECTED,260410000451474
NIFTY 23950 CALL 13 APR NSE,2026-4-10  3:9:4,NRML,BUY,1/1 Lots,65,0,208.25,206.70,0.00,COMPLETED,260410000451445
NIFTY 24200 CALL 13 APR NSE,2026-4-10  2:50:43,NRML,SELL,2/2 Lots,130,0,62.10,63.95,0.00,COMPLETED,260410000425302
NIFTY 23950 CALL 13 APR NSE,2026-4-10  2:33:5,NRML,SELL,0/1 Lots,0,65,147.55,0.00,0.00,REJECTED,260410000401816
NIFTY 24200 CALL 13 APR NSE,2026-4-10  2:33:5,NRML,BUY,2/2 Lots,130,0,54.10,51.60,0.00,COMPLETED,260410000401818
NIFTY 24200 CALL 13 APR NSE,2026-4-10  10:50:38,NRML,SELL,2/2 Lots,130,0,67.00,69.00,0.00,COMPLETED,260410000187127
NIFTY 24200 CALL 13 APR NSE,2026-4-10  9:48:5,NRML,BUY,2/2 Lots,130,0,69.55,67.10,0.00,COMPLETED,260410000096714
